Day of Year (dec)	Total Rate[Hz]	M1 Total Rate[Hz]	M1-Vertical Rate[Hz]	M1-Inclined[Hz]
321.321863430000	134.115	67.935	36.862	31.073	
321.328807870000	132.967	67.340	36.277	31.063	
321.335752310000	132.677	67.118	36.230	30.888	
321.342696760000	131.938	67.017	36.332	30.685	
321.349641200000	133.007	67.603	36.948	30.655	
321.356585650000	132.893	67.797	36.753	31.043	
321.363530090000	132.890	67.907	36.863	31.043	
321.370474540000	132.037	66.860	36.162	30.698	
321.377418980000	88.005	44.748	24.302	20.447	
321.384363430000	132.862	67.468	36.557	30.912	
321.391307870000	131.642	66.808	36.183	30.625	
321.398252310000	131.952	66.572	36.253	30.318	
321.405196760000	133.125	66.918	36.415	30.503	
321.412141200000	132.398	66.455	36.283	30.172	
321.419085650000	132.270	66.442	36.117	30.325	
321.426030090000	133.603	66.937	36.342	30.595	
321.432974540000	132.272	65.910	35.832	30.078	
321.439918980000	132.350	66.522	36.083	30.438	
321.446863430000	133.347	66.802	36.307	30.495	
321.453807870000	132.012	66.175	35.738	30.437	
321.460752310000	132.317	65.972	35.747	30.225	
321.467696760000	132.295	66.497	35.787	30.710	
321.474641200000	131.830	66.958	35.888	31.070	
321.481585650000	131.398	66.983	35.720	31.263	
321.488530090000	132.748	66.740	36.272	30.468	
321.495474540000	131.892	66.633	36.073	30.560	
321.502418980000	86.195	43.280	23.643	19.637	
321.509363430000	132.625	66.140	35.793	30.347	
321.516307870000	132.818	66.505	36.163	30.342	
321.523252310000	132.998	66.975	36.473	30.502	
321.530196760000	132.505	66.458	35.905	30.553	
321.537141200000	130.672	66.153	35.618	30.535	
321.544085650000	131.265	66.483	36.200	30.283	
321.551030090000	132.347	66.382	36.055	30.327	
321.557974540000	132.553	66.362	36.002	30.360	
321.564918980000	132.997	66.280	35.933	30.347	
321.571863430000	131.970	66.272	35.622	30.650	
321.578807870000	132.183	66.128	35.843	30.285	
321.585752310000	133.172	67.237	36.345	30.892	
321.592696760000	132.350	66.193	35.615	30.578	
321.599641200000	131.933	65.953	35.502	30.452	
321.606585650000	131.847	66.013	35.663	30.350	
321.613530090000	131.880	66.195	35.865	30.330	
321.620474540000	132.123	66.038	35.702	30.337	
321.627418980000	86.137	43.305	23.430	19.875	
321.634363430000	132.188	65.758	35.778	29.980	
321.641307870000	131.660	66.352	36.072	30.280	
321.648252310000	131.185	65.928	35.715	30.213	
321.655196760000	131.373	66.555	35.873	30.682	
321.662141200000	131.555	66.062	35.722	30.340	
321.669085650000	132.082	66.258	35.885	30.373	
321.676030090000	131.743	66.107	35.783	30.323	
321.682974540000	130.807	66.292	35.620	30.672	
321.689918980000	131.040	66.185	35.783	30.402	
321.696863430000	131.925	66.135	36.028	30.107	
321.703807870000	131.188	66.552	35.925	30.627	
321.710752310000	131.080	65.797	35.915	29.882	
321.717696760000	131.035	65.225	35.392	29.833	
321.724641200000	131.392	65.277	35.550	29.727	
321.731585650000	130.715	65.448	35.290	30.158	
321.738530090000	129.895	66.287	35.657	30.630	
321.745474540000	131.080	66.253	35.697	30.557	
321.752418980000	85.213	43.185	23.237	19.948	
321.759363430000	131.072	65.550	35.378	30.172	
321.766307870000	132.150	65.830	35.580	30.250	
321.773252310000	131.327	65.283	35.698	29.585	
321.780196760000	131.343	65.678	35.572	30.107	
321.787141200000	131.777	66.017	35.790	30.227	
321.794085650000	130.773	65.375	35.725	29.650	
321.801030090000	131.485	64.712	34.872	29.840	
321.807974540000	131.093	65.447	35.155	30.292	
321.814918980000	130.978	65.663	35.827	29.837	
321.821863430000	131.600	64.987	35.662	29.325	
321.828807870000	131.897	64.937	35.363	29.573	
321.835752310000	131.062	64.745	35.172	29.573	
321.842696760000	131.280	65.105	35.348	29.757	
321.849641200000	131.560	65.140	35.173	29.967	
321.856585650000	131.785	65.293	35.652	29.642	
321.863530090000	131.567	64.932	35.473	29.458	
321.870474540000	131.942	65.240	35.493	29.747	
321.877418980000	86.003	42.577	23.170	19.407	
321.884363430000	132.803	65.523	35.867	29.657	
321.891307870000	130.412	64.793	35.212	29.582	
321.898252310000	131.047	65.408	35.315	30.093	
321.905196760000	130.228	64.647	35.080	29.567	
321.912141200000	131.025	64.968	35.150	29.818	
321.919085650000	130.472	64.998	35.237	29.762	
321.926030090000	131.728	64.832	35.137	29.695	
321.932974540000	131.208	65.095	35.732	29.363	
321.939918980000	131.532	65.150	35.332	29.818	
321.946863430000	131.927	64.462	35.082	29.380	
321.953807870000	132.018	65.368	35.670	29.698	
321.960752310000	130.922	65.028	35.378	29.650	
321.967696760000	131.512	65.340	35.135	30.205	
321.974641200000	130.598	65.017	35.133	29.883	
321.981585650000	130.378	64.993	35.193	29.800	
321.988530090000	130.518	65.113	35.372	29.742	
321.995474540000	130.980	64.692	35.288	29.403	
322.002418980000	85.635	42.638	23.127	19.512	
322.009363430000	130.587	65.040	35.388	29.652	
322.016307870000	130.287	64.510	34.865	29.645	
322.023252310000	130.233	64.632	35.155	29.477	
322.030196760000	130.822	65.135	35.320	29.815	
322.037141200000	130.458	64.677	35.317	29.360	
322.044085650000	129.935	64.695	35.242	29.453	
322.051030090000	129.073	63.743	34.712	29.032	
322.057974540000	130.798	64.645	35.132	29.513	
322.064918980000	130.570	64.752	34.973	29.778	
322.071863430000	130.592	64.825	35.523	29.302	
322.078807870000	130.638	64.980	35.232	29.748	
322.085752310000	130.800	65.013	35.270	29.743	
322.092696760000	130.690	65.120	35.297	29.823	
322.099641200000	130.378	65.213	35.265	29.948	
322.106585650000	129.748	64.830	35.090	29.740	
322.113530090000	130.470	64.445	35.065	29.380	
322.120474540000	129.922	64.272	34.775	29.497	
322.127418980000	87.087	43.390	23.413	19.977	
322.134363430000	130.695	64.192	34.863	29.328	
322.141307870000	129.295	64.103	34.503	29.600	
322.148252310000	130.185	64.535	35.272	29.263	
322.155196760000	129.742	64.222	35.145	29.077	
322.162141200000	130.425	65.037	35.387	29.650	
322.169085650000	130.058	64.912	35.335	29.577	
322.176030090000	130.242	64.493	35.003	29.490	
322.182974540000	130.037	64.148	34.988	29.160	
322.189918980000	130.132	64.490	35.017	29.473	
322.196863430000	129.595	63.887	34.440	29.447	
322.203807870000	129.768	64.083	34.727	29.357	
322.210752310000	130.525	63.955	34.788	29.167	
322.217696760000	130.312	64.432	35.182	29.250	
322.224641200000	130.053	64.647	34.833	29.813	
322.231585650000	129.492	63.945	34.780	29.165	
322.238530090000	64.027	31.742	17.162	14.580	
322.245474540000	130.700	64.588	35.108	29.480	
322.252418980000	86.108	42.688	23.413	19.275	
322.259363430000	129.932	64.497	34.993	29.503	
322.266307870000	130.818	64.342	34.797	29.545	
322.273252310000	130.405	63.973	34.735	29.238	
322.280196760000	130.305	64.267	35.012	29.255	
322.287141200000	129.940	63.833	34.468	29.365	
322.294085650000	131.308	64.017	34.853	29.163	
322.301030090000	130.318	63.215	34.298	28.917	
322.307974540000	131.298	64.183	34.740	29.443	
322.314918980000	130.627	63.622	34.663	28.958	
322.321863430000	130.518	63.673	34.828	28.845	
322.328807870000	129.112	64.240	35.033	29.207	
322.335752310000	129.982	64.637	35.023	29.613	
322.342696760000	130.250	63.065	34.262	28.803	
322.349641200000	130.443	63.620	34.938	28.682	
322.356585650000	129.465	63.022	34.138	28.883	
322.363530090000	130.823	64.193	35.047	29.147	
322.370474540000	131.208	64.408	35.090	29.318	
322.377418980000	86.177	41.935	22.760	19.175	
322.384363430000	129.418	63.673	34.523	29.150	
322.391307870000	129.795	64.090	34.895	29.195	
322.398252310000	129.510	63.855	34.745	29.110	
322.405196760000	128.988	63.498	34.262	29.237	
322.412141200000	129.837	64.233	35.057	29.177	
322.419085650000	128.980	63.257	34.688	28.568	
322.426030090000	128.827	63.462	34.393	29.068	
322.432974540000	128.343	63.105	34.333	28.772	
322.439918980000	128.213	63.208	34.090	29.118	
322.446863430000	129.910	63.203	34.465	28.738	
322.453807870000	130.197	63.533	34.810	28.723	
322.460752310000	129.802	63.878	34.770	29.108	
322.467696760000	128.945	63.308	34.378	28.930	
322.474641200000	130.067	63.622	34.500	29.122	
322.481585650000	129.562	63.275	34.633	28.642	
322.488530090000	129.615	63.332	34.323	29.008	
322.495474540000	128.740	62.693	34.132	28.562	
322.502418980000	85.498	41.658	22.588	19.070	
322.509363430000	129.187	63.407	34.577	28.830	
322.516307870000	128.950	63.130	34.025	29.105	
322.523252310000	129.182	63.153	34.060	29.093	
322.530196760000	129.100	62.732	34.243	28.488	
322.537141200000	128.905	62.618	33.763	28.855	
322.544085650000	128.830	63.165	34.207	28.958	
322.551030090000	129.678	63.380	34.630	28.750	
322.557974540000	129.237	63.030	34.302	28.728	
322.564918980000	128.788	63.285	34.652	28.633	
322.571863430000	128.282	63.172	34.528	28.643	
322.578807870000	127.753	63.022	34.343	28.678	
322.585752310000	129.138	63.612	34.662	28.950	
322.592696760000	127.922	62.823	34.287	28.537	
322.599641200000	128.407	63.250	34.442	28.808	
322.606585650000	127.327	62.682	34.097	28.585	
322.613530090000	127.328	63.075	34.505	28.570	
322.620474540000	127.380	62.892	34.115	28.777	
322.627418980000	85.813	42.340	23.113	19.227	
322.634363430000	128.800	62.682	33.993	28.688	
322.641307870000	127.762	62.042	33.613	28.428	
322.648252310000	128.425	62.573	34.020	28.553	
322.655196760000	128.623	62.923	34.387	28.537	
322.662141200000	128.178	62.898	34.017	28.882	
322.669085650000	128.728	62.702	34.017	28.685	
322.676030090000	128.697	62.982	34.437	28.545	
322.682974540000	128.397	62.652	34.252	28.400	
322.689918980000	128.508	61.872	33.747	28.125	
322.696863430000	130.833	57.645	31.960	25.685	
322.703807870000	131.087	61.445	33.625	27.820	
322.710752310000	128.068	61.650	33.838	27.812	
322.717696760000	127.267	61.983	34.028	27.955	
322.724641200000	128.188	62.983	34.413	28.570	
322.731585650000	128.638	62.923	34.145	28.778	
322.738530090000	128.313	62.593	34.212	28.382	
322.745474540000	128.098	62.265	34.183	28.082	
322.752418980000	85.198	41.663	22.682	18.982	
322.759363430000	127.872	62.737	34.578	28.158	
322.766307870000	128.020	62.180	34.060	28.120	
322.773252310000	127.182	62.178	33.825	28.353	
322.780196760000	128.605	62.662	34.103	28.558	
322.787141200000	128.968	62.718	34.255	28.463	
322.794085650000	128.282	62.262	33.797	28.465	
322.801030090000	128.507	61.352	33.565	27.787	
322.807974540000	127.950	61.677	33.585	28.092	
322.814918980000	128.560	62.005	33.915	28.090	
322.821863430000	128.658	62.202	34.220	27.982	
322.828807870000	128.572	62.168	33.673	28.495	
322.835752310000	127.080	62.232	33.838	28.393	
322.842696760000	127.865	62.787	34.197	28.590	
322.849641200000	127.892	61.522	33.360	28.162	
322.856585650000	128.812	61.417	33.597	27.820	
322.863530090000	128.860	61.645	33.592	28.053	
322.870474540000	129.242	62.033	33.835	28.198	
322.877418980000	84.322	40.363	21.988	18.375	
322.884363430000	129.048	60.903	33.240	27.663	
322.891307870000	128.495	61.605	33.743	27.862	
322.898252310000	128.077	62.118	34.045	28.073	
322.905196760000	129.150	61.518	33.785	27.733	
322.912141200000	129.427	61.580	33.803	27.777	
322.919085650000	129.080	61.982	34.038	27.943	
322.926030090000	128.303	61.220	33.498	27.722	
322.932974540000	128.960	61.965	33.975	27.990	
322.939918980000	128.433	61.363	33.997	27.367	
322.946863430000	129.348	61.082	33.392	27.690	
322.953807870000	128.115	61.658	33.512	28.147	
322.960752310000	128.218	61.472	33.597	27.875	
322.967696760000	128.943	61.623	33.565	28.058	
322.974641200000	129.138	61.762	34.090	27.672	
322.981585650000	128.490	60.983	33.225	27.758	
322.988530090000	128.025	60.742	33.525	27.217	
322.995474540000	127.595	60.703	33.067	27.637	
